"","time","kepler.radius","model.radius","actual.radius","kepler.angle","actual.angle","x","y"
"1",-789.86,1.58852,1.58853,1.5891,2.13027,2.12831,-0.843091408683657,1.34632561700497
"2",-757.18,1.62104,1.621,1.62165,2.39837,2.39653,-1.19355834835623,1.09689979062316
"3",-753.19,1.62443,1.62443,1.62509,2.43037,2.42854,-1.23061024481965,1.06036373487824
"4",-726.27,1.64421,1.64423,1.64491,2.64327,2.64152,-1.444250205994,0.785854863563429
"5",-30.95,1.64907,1.64907,1.64984,2.70815,2.70696,-1.49657262160587,0.69260540942136
"6",2.84,1.6621,1.6621,1.66288,2.96844,2.96732,-1.63724578180414,0.286361065727443
"7",13.74,1.664,1.66396,1.66473,3.05176,3.05065,-1.6572903525048,0.149280566365911
"8",49.91,1.6617,1.66171,1.66241,3.32781,3.32675,-1.63297185859278,-0.307652074662328
"9",734.17,1.66232,1.66233,1.66356,3.30693,3.3064,-1.63965075811572,-0.27359308070665
"10",772.03,1.64737,1.64738,1.64812,3.59867,3.59818,-1.47826116865957,-0.727029458917069
"11",777.95,1.64382,1.64383,1.64456,3.64488,3.6444,-1.43998925429717,-0.79282730774657
"12",819.86,1.61027,1.61028,1.61083,3.9791,3.97865,-1.07778090473359,-1.19639366192389
"13",1507.15,1.61,1.61,1.61059,3.98145,3.98157,-1.07478616255252,-1.19872211324628
"14",1542.94,1.57141,1.57141,1.57186,4.28018,4.28035,-0.658228561344174,-1.42690733726153
"15",1544.97,1.569,1.569,1.56944,4.29762,4.29779,-0.632273281888825,-1.43596361270386
"16",1565.94,1.54326,1.54327,1.5421,4.48063,4.48083,-0.354471127137724,-1.50199921691914
"17",2303.05,1.47891,1.47889,1.47886,4.94472,4.94565,0.340513906878062,-1.43917513434698
"18",2326.98,1.44981,1.44981,1.44969,5.1807,5.18169,0.654414946070225,-1.29371175864638
"19",2330.96,1.44526,1.44525,1.44512,5.22084,5.22184,0.703588407049873,-1.26243408582984
"20",2348.9,1.42608,1.42608,1.42589,5.40487,5.40591,0.910478918762261,-1.09760298145072
"21",3103.05,1.38376,1.38377,1.38332,6.12878,6.13067,1.36729763531761,-0.212811921787432
"22",3134.98,1.38463,1.38467,1.38431,0.198457,0.200358,1.35745242393136,0.272989292212851
"23",3141.9,1.38682,1.38677,1.38643,0.274599,0.276497,1.33486141653532,0.376051473930517
"24",3176.8,1.40697,1.40694,1.40676,0.653406,0.65526,1.11715939293361,0.855289115843408
"25",3891.17,1.43222,1.43225,1.43206,0.940685,0.943206,0.843913735502517,1.15717921491452
"26",3930.98,1.4789,1.47888,1.47896,1.3384,1.34079,0.340605591519903,1.43914316210215
"27",3937.97,1.48773,1.48776,1.48789,1.40552,1.40788,0.244768627302989,1.46745659969493
"28",3982.8,1.54539,1.54541,1.54583,1.81763,1.81986,-0.377592604215352,1.49855065891743
